row	eventDate_error	decimalLongitude_error	decimalLatitude_error	minimumDepthInMeters_error	maximumDepthInMeters_error	eventID	eventRemarks	eventDate	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	dynamicProperties	sampleSizeValue	sampleSizeUnit	materialSampleID	country	waterBody	parentEventID
13	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153173	GS260, 3.0 um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	324199	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190985			
14	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153174	GS263, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	197807	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190982			
15	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153175	GS262, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	122406	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190927			
16	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153176	GS259, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	210743	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190926			
17	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153177	GS108						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	430361	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS259968			
18	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153178	GS258, 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium","sample identifier":"GS258"}	199584	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190976			
19	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153179	GS257 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	192774	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190981			
20	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153180	GS258, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	250727	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190975			
21	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153181	GS112						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	453003	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS259965			
22	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153182	GS259, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	173596	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190986			
23	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153183	GS262, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	234926	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190978			
24	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153184	GS262, 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	213756	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190979			
25	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153185	GS263, 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	190587	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190983			
26	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153186	GS263, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium","sample identifier":"GS263"}	187723	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190977			
